Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
55143,3,2,0,37,0,31,6,18.5,17.67767,0,0,0,0,12300000,666666.7,3,0,3,3,3,3,0,3,3,0,0,0,0,0,1,0,0,0,40,0,666666.7,0,6,31,22.66667,14.43376,208.3333,0,1,0,0,1,0,0,0,0,34,18.5,0,40,0,0,0,0,0,0,2,37,0,0,980,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
55144,1,2,0,37,0,31,6,18.5,17.67767,0,0,0,0,37000000,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,40,0,2000000,0,6,31,22.66667,14.43376,208.3333,0,1,0,0,1,0,0,0,0,34,18.5,0,40,0,0,0,0,0,0,2,37,0,0,980,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
55145,4,2,0,37,0,31,6,18.5,17.67767,0,0,0,0,9250000,500000,4,0,4,4,4,4,0,4,4,0,0,0,0,0,1,0,0,0,40,0,500000,0,6,31,22.66667,14.43376,208.3333,0,1,0,0,1,0,0,0,0,34,18.5,0,40,0,0,0,0,0,0,2,37,0,0,980,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
55254,3,3,0,43,0,31,6,14.33333,14.43376,0,0,0,0,14300000,1000000,1.5,0.707107,2,1,3,1.5,0.707107,2,1,0,0,0,0,0,0,0,0,0,60,0,1000000,0,6,31,12.25,12.5,156.25,0,0,0,0,1,0,0,0,0,16.33333,14.33333,0,60,0,0,0,0,0,0,3,43,0,0,946,-1,2,20,0,0,0,0,0,0,0,0,BENIGN
36206,54,1,1,0,0,0,0,0,0,0,0,0,0,0,37037.04,54,0,54,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,18518.52,18518.52,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,939,1269,0,32,0,0,0,0,0,0,0,0,BENIGN
53524,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,64,0,2000000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,64,0,0,0,0,0,0,2,0,0,0,130,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
53524,154,1,1,0,0,0,0,0,0,0,0,0,0,0,12987.01,154,0,154,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,6493.506,6493.506,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,130,65535,0,32,0,0,0,0,0,0,0,0,BENIGN
53526,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,64,0,2000000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,64,0,0,0,0,0,0,2,0,0,0,130,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
53526,118,1,1,0,0,0,0,0,0,0,0,0,0,0,16949.15,118,0,118,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,8474.576,8474.576,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,130,65535,0,32,0,0,0,0,0,0,0,0,BENIGN
53527,239,1,1,0,0,0,0,0,0,0,0,0,0,0,8368.201,239,0,239,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,4184.1,4184.1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,130,65535,0,32,0,0,0,0,0,0,0,0,BENIGN
53528,1,3,0,0,0,0,0,0,0,0,0,0,0,0,3000000,0.5,0.707107,1,0,1,0.5,0.707107,1,0,0,0,0,0,0,0,0,0,0,96,0,3000000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,96,0,0,0,0,0,0,3,0,0,0,130,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
53527,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,64,0,2000000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,64,0,0,0,0,0,0,2,0,0,0,130,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
55035,4,2,0,248,0,217,31,124,131.5219,0,0,0,0,62000000,500000,4,0,4,4,4,4,0,4,4,0,0,0,0,0,1,0,0,0,40,0,500000,0,31,217,155,107.3872,11532,0,1,0,0,1,0,0,0,0,232.5,124,0,40,0,0,0,0,0,0,2,248,0,0,237,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
55275,5,3,0,254,0,217,6,84.66667,115.2837,0,0,0,0,50800000,600000,2.5,2.12132,4,1,5,2.5,2.12132,4,1,0,0,0,0,0,1,0,0,0,60,0,600000,0,6,217,117.75,115.0576,13238.25,0,1,0,0,1,0,0,0,0,157,84.66667,0,60,0,0,0,0,0,0,3,254,0,0,123,-1,2,20,0,0,0,0,0,0,0,0,BENIGN
55277,4,2,0,12,0,6,6,6,0,0,0,0,0,3000000,500000,4,0,4,4,4,4,0,4,4,0,0,0,0,0,0,0,0,0,40,0,500000,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,35095,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
8850,4,3,0,43,0,31,6,14.33333,14.43376,0,0,0,0,10800000,750000,2,1.414214,3,1,4,2,1.414214,3,1,0,0,0,0,0,0,0,0,0,60,0,750000,0,6,31,12.25,12.5,156.25,0,0,0,0,1,0,0,0,0,16.33333,14.33333,0,60,0,0,0,0,0,0,3,43,0,0,65,-1,2,20,0,0,0,0,0,0,0,0,BENIGN
43248,54,1,1,0,0,0,0,0,0,0,0,0,0,0,37037.04,54,0,54,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,18518.52,18518.52,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,59,439,0,32,0,0,0,0,0,0,0,0,BENIGN
8678,42,3,0,43,0,31,6,14.33333,14.43376,0,0,0,0,1023810,71428.57,21,25.45584,39,3,42,21,25.45584,39,3,0,0,0,0,0,0,0,0,0,60,0,71428.57,0,6,31,12.25,12.5,156.25,0,0,0,0,1,0,0,0,0,16.33333,14.33333,0,60,0,0,0,0,0,0,3,43,0,0,64,-1,2,20,0,0,0,0,0,0,0,0,BENIGN
55063,4,2,0,37,0,31,6,18.5,17.67767,0,0,0,0,9250000,500000,4,0,4,4,4,4,0,4,4,0,0,0,0,0,1,0,0,0,40,0,500000,0,6,31,22.66667,14.43376,208.3333,0,1,0,0,1,0,0,0,0,34,18.5,0,40,0,0,0,0,0,0,2,37,0,0,60,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
55203,3,2,0,37,0,31,6,18.5,17.67767,0,0,0,0,12300000,666666.7,3,0,3,3,3,3,0,3,3,0,0,0,0,0,1,0,0,0,40,0,666666.7,0,6,31,22.66667,14.43376,208.3333,0,1,0,0,1,0,0,0,0,34,18.5,0,40,0,0,0,0,0,0,2,37,0,0,60,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
55140,3,2,0,37,0,31,6,18.5,17.67767,0,0,0,0,12300000,666666.7,3,0,3,3,3,3,0,3,3,0,0,0,0,0,1,0,0,0,40,0,666666.7,0,6,31,22.66667,14.43376,208.3333,0,1,0,0,1,0,0,0,0,34,18.5,0,40,0,0,0,0,0,0,2,37,0,0,62,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
55180,737,2,1,37,6,31,6,18.5,17.67767,6,6,6,0,58344.64,4070.556,368.5,310.4199,588,149,737,737,0,737,737,0,0,0,0,0,1,0,0,0,40,20,2713.704,1356.852,6,31,18.5,14.43376,208.3333,0,1,0,0,1,0,0,0,0,24.66667,18.5,6,40,0,0,0,0,0,0,2,37,1,6,62,0,1,20,0,0,0,0,0,0,0,0,BENIGN
55156,3,2,0,37,0,31,6,18.5,17.67767,0,0,0,0,12300000,666666.7,3,0,3,3,3,3,0,3,3,0,0,0,0,0,1,0,0,0,40,0,666666.7,0,6,31,22.66667,14.43376,208.3333,0,1,0,0,1,0,0,0,0,34,18.5,0,40,0,0,0,0,0,0,2,37,0,0,62,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
55096,3,2,0,37,0,31,6,18.5,17.67767,0,0,0,0,12300000,666666.7,3,0,3,3,3,3,0,3,3,0,0,0,0,0,1,0,0,0,40,0,666666.7,0,6,31,22.66667,14.43376,208.3333,0,1,0,0,1,0,0,0,0,34,18.5,0,40,0,0,0,0,0,0,2,37,0,0,60,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
55085,3,2,0,37,0,31,6,18.5,17.67767,0,0,0,0,12300000,666666.7,3,0,3,3,3,3,0,3,3,0,0,0,0,0,1,0,0,0,40,0,666666.7,0,6,31,22.66667,14.43376,208.3333,0,1,0,0,1,0,0,0,0,34,18.5,0,40,0,0,0,0,0,0,2,37,0,0,62,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
8689,276,3,0,43,0,31,6,14.33333,14.43376,0,0,0,0,155797.1,10869.57,138,192.333,274,2,276,138,192.333,274,2,0,0,0,0,0,0,0,0,0,60,0,10869.57,0,6,31,12.25,12.5,156.25,0,0,0,0,1,0,0,0,0,16.33333,14.33333,0,60,0,0,0,0,0,0,3,43,0,0,62,-1,2,20,0,0,0,0,0,0,0,0,BENIGN
8817,3,2,0,12,0,6,6,6,0,0,0,0,0,4000000,666666.7,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,0,0,0,40,0,666666.7,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,40905,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
8816,3,2,0,12,0,6,6,6,0,0,0,0,0,4000000,666666.7,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,0,0,0,40,0,666666.7,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,40905,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
8886,1,2,0,12,0,6,6,6,0,0,0,0,0,12000000,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,40,0,2000000,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,5114,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
60350,105,1,1,6,6,6,6,6,0,6,6,6,0,114285.7,19047.62,105,0,105,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,9523.81,9523.81,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,20,0,0,0,0,0,0,1,6,1,6,1024,274,0,20,0,0,0,0,0,0,0,0,BENIGN
60346,66,1,1,6,6,6,6,6,0,6,6,6,0,181818.2,30303.03,66,0,66,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,15151.52,15151.52,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,20,0,0,0,0,0,0,1,6,1,6,1024,274,0,20,0,0,0,0,0,0,0,0,BENIGN
60352,68,1,1,6,6,6,6,6,0,6,6,6,0,176470.6,29411.76,68,0,68,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,14705.88,14705.88,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,20,0,0,0,0,0,0,1,6,1,6,1024,320,0,20,0,0,0,0,0,0,0,0,BENIGN
8833,48,2,0,12,0,6,6,6,0,0,0,0,0,250000,41666.67,48,0,48,48,48,48,0,48,48,0,0,0,0,0,0,0,0,0,40,0,41666.67,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,23,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
9331,3,2,0,12,0,6,6,6,0,0,0,0,0,4000000,666666.7,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,0,0,0,40,0,666666.7,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,360,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
9175,3,2,0,12,0,6,6,6,0,0,0,0,0,4000000,666666.7,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,0,0,0,40,0,666666.7,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,385,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
8693,16,1,1,6,6,6,6,6,0,6,6,6,0,750000,125000,16,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,62500,62500,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,20,0,0,0,0,0,0,1,6,1,6,351,258,0,20,0,0,0,0,0,0,0,0,BENIGN
8695,63,1,1,6,6,6,6,6,0,6,6,6,0,190476.2,31746.03,63,0,63,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,15873.02,15873.02,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,20,0,0,0,0,0,0,1,6,1,6,360,255,0,20,0,0,0,0,0,0,0,0,BENIGN
8690,17,1,1,6,6,6,6,6,0,6,6,6,0,705882.4,117647.1,17,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,58823.53,58823.53,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,20,0,0,0,0,0,0,1,6,1,6,360,255,0,20,0,0,0,0,0,0,0,0,BENIGN
8694,123,1,1,6,6,6,6,6,0,6,6,6,0,97560.98,16260.16,123,0,123,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,8130.081,8130.081,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,20,0,0,0,0,0,0,1,6,1,6,360,255,0,20,0,0,0,0,0,0,0,0,BENIGN
57683,4,2,0,12,0,6,6,6,0,0,0,0,0,3000000,500000,4,0,4,4,4,4,0,4,4,0,0,0,0,0,0,0,0,0,40,0,500000,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,360,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
57662,4,2,0,12,0,6,6,6,0,0,0,0,0,3000000,500000,4,0,4,4,4,4,0,4,4,0,0,0,0,0,0,0,0,0,40,0,500000,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,360,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
54864,49,2,0,12,0,6,6,6,0,0,0,0,0,244898,40816.33,49,0,49,49,49,49,0,49,49,0,0,0,0,0,0,0,0,0,40,0,40816.33,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,351,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
57680,3,2,0,12,0,6,6,6,0,0,0,0,0,4000000,666666.7,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,0,0,0,40,0,666666.7,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,377,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
60954,46,1,1,0,0,0,0,0,0,0,0,0,0,0,43478.26,46,0,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,21739.13,21739.13,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,340,229,0,32,0,0,0,0,0,0,0,0,BENIGN
57681,3,2,0,12,0,6,6,6,0,0,0,0,0,4000000,666666.7,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,0,0,0,40,0,666666.7,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,424,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
55270,3,2,0,12,0,6,6,6,0,0,0,0,0,4000000,666666.7,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,0,0,0,40,0,666666.7,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,360,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
55271,251170,3,0,18,0,6,6,6,0,0,0,0,0,71.66461,11.9441,125585,177598.4,251166,4,251170,125585,177598.4,251166,4,0,0,0,0,0,0,0,0,0,60,0,11.9441,0,6,6,6,0,0,0,0,0,0,1,1,0,0,0,8,6,0,60,0,0,0,0,0,0,3,18,0,0,351,-1,2,20,0,0,0,0,0,0,0,0,BENIGN
57674,49,2,0,12,0,6,6,6,0,0,0,0,0,244898,40816.33,49,0,49,49,49,49,0,49,49,0,0,0,0,0,0,0,0,0,40,0,40816.33,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,360,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
50485,62,1,1,0,0,0,0,0,0,0,0,0,0,0,32258.06,62,0,62,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,16129.03,16129.03,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,378,558,0,32,0,0,0,0,0,0,0,0,BENIGN
57686,175,2,1,12,6,6,6,6,0,6,6,6,0,102857.1,17142.86,87.5,23.33452,104,71,175,175,0,175,175,0,0,0,0,0,0,0,0,0,40,20,11428.57,5714.286,6,6,6,0,0,0,0,0,0,1,0,0,0,0,8,6,6,40,0,0,0,0,0,0,2,12,1,6,360,255,1,20,0,0,0,0,0,0,0,0,BENIGN
33666,37,1,1,0,0,0,0,0,0,0,0,0,0,0,54054.05,37,0,37,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27027.03,27027.03,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,340,586,0,32,0,0,0,0,0,0,0,0,BENIGN
8883,3,2,0,12,0,6,6,6,0,0,0,0,0,4000000,666666.7,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,0,0,0,40,0,666666.7,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,40929,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
8884,3,2,0,12,0,6,6,6,0,0,0,0,0,4000000,666666.7,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,0,0,0,40,0,666666.7,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,40929,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
55245,96,1,1,6,6,6,6,6,0,6,6,6,0,125000,20833.33,96,0,96,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,10416.67,10416.67,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,20,0,0,0,0,0,0,1,6,1,6,16384,256,0,20,0,0,0,0,0,0,0,0,BENIGN
55150,1,2,0,12,0,6,6,6,0,0,0,0,0,12000000,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,40,0,2000000,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,5574,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
55043,0,2,0,12,0,6,6,6,0,0,0,0,0,Infinity,Infinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,4737,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
55040,48,2,0,12,0,6,6,6,0,0,0,0,0,250000,41666.67,48,0,48,48,48,48,0,48,48,0,0,0,0,0,0,0,0,0,40,0,41666.67,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,4737,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
55039,1,2,0,12,0,6,6,6,0,0,0,0,0,12000000,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,40,0,2000000,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,4737,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
55043,999588,2,0,12,0,6,6,6,0,0,0,0,0,12.00495,2.000824,999588,0,999588,999588,999588,999588,0,999588,999588,0,0,0,0,0,0,0,0,0,40,0,2.000824,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,4737,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
55039,75,1,1,6,6,6,6,6,0,6,6,6,0,160000,26666.67,75,0,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,13333.33,13333.33,6,6,6,0,0,0,0,0,0,1,0,0,0,1,9,6,6,20,0,0,0,0,0,0,1,6,1,6,4737,63668,0,20,0,0,0,0,0,0,0,0,BENIGN
